winery name|wine|price|type|vintage|varietal
Ortman Family Vineyards |Salisbury Vineyard Pinot Noir|$36.00|red|2007|Pinot noir
|Edna Valley Chardonnay|$24.00|white|2007|Chardonnay
|Paso Robles Syrah|$22.00|red|2006|Syrah
Oso Libre Winery|Volado Viognier|$28.00|white|2009|Viognier
|Quixotic Estate Cabernet Sauvignon|$42.00|red|2007|Cabernet Sauvignon 
|Osezno Zinfandel|$32.00|red|2008|Zinfandel
PasoPort Wine Company Inc|Violeta Port|$32.00|Port|2007|Blend
|Vinho Tinto|$38.00|red|2006|Touriga
Peachy Canyon Winery|Westside Zinfandel|$19.00|red|2007|Zinfandel
|Viognier "Concrete Blanc"|$25.00|white|2009|Viognier
|Ms. Behave Malbec|$32.00|red|2007|Malbec
Pear Valley Vineyard|Muscat Canelli|$12.00|white|2009|Muscat Canelli
|Cabernet Sauvignon|$28.00|red|2006|Cabernet Sauvignon
| Syrah|$25.00|red|2006| Syrah
Penman Springs Vineyard |SYRAH ROSE|$15.00|rose|2008|Syrah
|MERLOT|$18.00|red|2008|Merlot
|MUSCAT BLANC|$15.00|white|2008|Muscat
Per Cazo Cellars|ZinG |$28.00|red|2008|Blend
|Confluent|$38.00|red|2007|Blend
|Epi Telos|$30.00|red|2008|Rhone
Pianetta Winery|Pianetta Sangiovese|$26.00|red|2008|Sangiovese
|Pianetta Barbera|$27.00|red|2008|Barbera
|Pianetta Estate Nonna's Vino Rosato|$18.00|red|2009|Blend
Pipestone Vineyards|Viognier|$25.00|white|2008|Viognier
|Mourvèdre|$38.00|red|2006|Mourvèdre
|Reserve Syrah|$45.00|red|2005|Syrah
Pithy Little Wine Company| Syrah|$33.00|red|2008| Syrah
|Sangiovese Rose|$22.00|rose|2009|Sangiovese
|Malvasia Bianca - Beach Beauty|$22.00|white|2009|Malvasia Bianca
Pomar Junction Vineyard & Winery |Syrah Rose|$15.00|rose|2009|Syrah
|Merlot|$28.00|red|2006|Merlot
|Zinfandel|$34.00|red|2007|Zinfandel
Pozo Valley|Sauvignon Blanc|$14.00|white|2007|Sauvignon Blanc
|Late Harvest Zinfandel|$21.00|red|2005| Zinfandel
|Cabernet Sauvignon|$20.00|red|2005|Cabernet Sauvignon
Proulx|Petite Sirah |$32.00|red|2006|Petite Sirah 
|Reserve Zinfandel|$42.00|red|2007|Zinfandel
|Facets|$22.00|white|2007|Viognier
Ranchita Canyon Vineyard|Cabernet Franc|$28.00|red|2005|Cabernet Franc
| Old Vine Petite Sirah|$32.00|red|2007|Syrah
| "Port" Dessert Cabernet Sauvignon|$48.00|dessert|2005|Cabernet Sauvignon
red Soles Winery|Old Vine Chardonnay|$28.00|white|2009|Chardonnay
|Reserve Cabernet|$40.00|red|2007|Cabernet Sauvignon
|Zinfandel|$32.00|red|2008|Zinfandel
RIO SECO Vineyard & Winery|Rousanne|$18.00|white|2005|Rousanne
|Syrah The Guard|$22.00|red|2004|Syrah
|Cabernet Sauvignon|$19.00|red|2003|Cabernet Sauvignon
Riverstar Vineyards|Late Harvest Merlot|$20.00|red|2007|Merlot
|Zinfandel|$18.00|red|2007|Zinfandel
|Sauvignon Blanc|$16.00|white|2007|Sauvignon Blanc
RN Estate Vineyard & Winery|Mourvèdre|$32.00|red|2007|Mourvèdre
|Pinot Noir, Santa Rita Hills|$48.00|red|2006|Pinot Noir
|Young Vine Zinfandel|$32.00|red|2007|Zinfandel
Robert Hall Winery|Orange Muscat|$15.00|white|2009|Muscat
|Cabernet Franc|$24.00|red|2007|Cabernet Franc
|Vintage Port|$24.00|dessert|2006|Blend
Rockin' R Winery| "Harvest Moon" |$20.00|white|2009|Blend
| "Nirvana"|$28.00|red|2008|Zinfandel
Rotta Winery|    Estate Zinfandel Port|$25.00|dessert|2007|Zinfandel
|   Muscat Canelli|$12.00|white|2009|Muscat
|    Zinfandel Rose|$10.00|rose|2009|Zinfandel
Roxo Port Cellars|Barbera|$35.00|red|2006|Barbera
| Negrette|$35.00|red|2007| Negrette
|Magia Preta |$39.50|red|2007|Blend
San Marcos Creek Vineyard|Estate white Merlot |$16.00|rose|2009|Merlot
|Estate Nebbiolo |$20.00|red|2006|Nebbiolo 
|Estate Reserve Cabernet |$32.00|red|2005|Cabernet Sauvignon 
Sarzotti Winery|Cabernet Sauvignon|$22.00|red|2006|Cabernet Sauvignon
|Late Harvest Merlot|$18.00|red|2006|Merlot
| Merlot|$20.00|red|2006| Merlot
Sculpterra Winery & Sculpture Garden|Zinfandel|$26.00|red|2007|Zinfandel
| Mourvedre |$24.00|red|2008| Mourvedre 
|Viognier|$22.00|white|2008|Viognier
Silver Horse Winery|Tempranillo|$38.00|red|2007|Tempranillo
| Merlot|$38.00|red|2008| Merlot
|Cabernet Sauvignon|$40.00|red|2008|Cabernet Sauvignon
