winery name|wine| price |type|vintage|varietal
|Zinfandel Port|$45.00 |port||Zinfandel
Chateau Boswell|True Course Chardonnay||white|2008|Chardonnay
|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
|Estate Cabernet Sauvignon||red|2008|Cabernet Sauvignon
Chateau Montelena Winery|Riesling|$24.00 |white|2009|Riesling
|Petite Sirah|$30.00 |red|2007|Petite Sirah
|Cabernet Sauvignon|$49.00 |red|2007|Cabernet Sauvignon
|Estate Cabernet |$135.00 |red|2006|Cabernet Sauvignon
Chateau Potelle|Chardonnay VGS|$45.00 |white|2009|Chardonnay
|Zinfandel VGS|$65.00 |red|2007|Zinfandel
|Cabernet VGS|$75.00 |red|2005|Cabernet Sauvignon
Chercher Trouver Winery|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
Chiarello Vineyards |Giana Zinfandel|$35.00 |red|2007|Zinfandel
|Eileen Cabernet|$60.00 |red|2006|Cabernet Sauvignon
Chimney Rock Winery |Fume Blanc||white|2008|Sauvignon Blanc
|Elevage||red|2006|Blend
|Cabernet Sauvignon||red|2006|Cabernet Sauvignon
|Rose of Cabernet Franc||red|2008|Cabernet Franc
Cimarossa Winery|Howell Mountain Cabernet|$60.00 |red|2006|Cabernet Sauvignon
|Howell Mountain Cabernet|$65.00 |red|2005|Cabernet Sauvignon
Clark-Claudon Vineyards |Wild Iris Sauvignon Blanc||white|2009|Sauvignon Blanc
|Estate Cabernet Sauvignon||red|2006|Cabernet Sauvignon
|Estate Cabernet Sauvignon||red|2007|Cabernet Sauvignon
Clif Family Winery |Climber Sauvignon Blanc|$14.00 |white|2009|Sauvignon Blanc
|Rte. Blanc|$18.00 |white|2009|Sauvignon Blanc
|Gary's Improv Zinfandel|$35.00 |red|2007|Zinfandel
|Kit's Killer Cab|$38.00 |red|2006|Cabernet Sauvignon
Cliff Lede Vineyards|Sauvignon Blanc|$22.00 |white|2009|Sauvignon Blanc
|Cabernet Sauvignon Stags Leap District|$60.00 |red|2007|Cabernet Sauvignon
|High Fidelity|$75.00 |red|2007|Blend
|Imagine Rhapsody|$90.00 |red|2007|Cabernet Sauvignon
Clos du Val Wine Co.|Carneros Chardonnay|$24.00 |white|2008|Chardonnay
|Ariadne|$21.00 |white|2008|Blend
|Reserve Pinot Noir|$55.00 |red|2007|Pinot Noir
|SLD Cabernet Sauvignon|$70.00 |red|2006|Cabernet Sauvignon
Clos Pegase|Vin Gris|$19.00 |rose|2009|Blend
|Merlot|$25.00 |red|2006|Merlot
|Syrah|$35.00 |red|2007|Syrah
|Cabernet Hommage|$90.00 |red|2006|Cabernet Sauvignon
Cloud View Winery|Estate Red Wine|$65.00 |red|2005|Blend
COHO|Stanley Ranch Pinot Noir|$45.00 |red|2007|Pinot Noir
|Merlot||red|2006|Merlot
|Headwaters||red|2008|Cabernet Sauvignon
|Summitvine Ranch Cabernet||red|2006|Cabernet Sauvignon
Colgin Cellars|Herb Lamb Cabernet|$290.00 |red|2007|Cabernet Sauvignon
|Tychson Hil Cabernet|$290.00 |red|2007|Cabernet Sauvignon
|Cariad|$290.00 |red|2007|Blend
Coniglio Winery|Cabernet Franc|$40.00 |red|2005|Cabernet Franc
|Diamond Mountain Cabernet|$60.00 |red|2005|Cabernet Sauvignon
|Oakville Cabernet|$60.00 |red|2005|Cabernet Sauvignon
Conn Creek Winery |Sauvignon Blanc|$18.00 |white|2009|Sauvignon Blanc
|Cabernet Sauvignmon|$25.00 |red|2006|Cabernet Sauvignon
|Collins Vineyard Cabernet|$45.00 |red|2005|Cabernet Sauvignon
|Anthology|$50.00 |red|2005|Blend
Continuum Estate|Continuum||red|2007|Blend
Corison Winery|Corazon Gewurztraminer|$30.00 |white|2007|Gewurztraminer
|Cabernet Sauvignon|$70.00 |red|2007|Cabernet Sauvignon
|Kronos Vineyard Cabernet|$98.00 |red|2006|Cabernet Sauvignon
|Corazon Cabernet Rose|$24.00 |rose|2007|Cabernet Sauvignon
Cornerstone Cellars |Coralina Rose|$16.00 |rose|2009|Blend
|Cabernet Franc|$30.00 |red|2008|Cabernet Franc
|Syrah|$20.00 |red|2008|Syrah
|Howell Mountain Cabernet|$75.00 |red|2005|Cabernet Sauvignon
Corra|Cabernet Sauvignon|$125.00 |red|2007|Cabernet Sauvignon
Cosentino Winery|Gewurztraminer  |$22.00 |white|2007|Gewurztraminer
|Sangiovese|$25.00 |red|2007|Sangiovese
|The Poet |$75.00 |red|2007|Blend
|Estate Cabernet Sauvignon|$80.00 |red|2005|Cabernet Sauvignon
Coup de Foudre|Pinot Noir||red|2008|Pinot Noir
|Cabernet Sauvignon||red|2008|Cabernet Sauvignon
|37.2 Cuvee||red|2008|Blend
Courtesan|Oakville Cabernet||red|2004|Cabernet Sauvignon
Covenant|Cabernet Sauvignon|$90.00 |red|2007|Cabernet Sauvignon
|Cabernet Sauvignon|$90.00 |red|2008|Cabernet Sauvignon
|Solomon Lot 70||red|2008|Cabernet Sauvignon
|Red C|$44.00 |red|2008|Cabernet Sauvignon
Crane Brothers|Merlot|$30.00 |red|2006|Merlot
|Syrah|$36.00 |red|2006|Syrah
|Brodatious|$36.00 |red|2007|Blend
|Cabernet Sauvignon|$44.00 |red|2006|Cabernet Sauvignon
Crane Family Vineyards |Estate Merlot|$50.00 |red|2007|Merlot
|Cabernet Sauvignon|$62.00 |red|2007|Cabernet Sauvignon
|Allison's Cuvee|$70.00 |red|2007|Blend
|Douceur|$60.00 |port|2007|Zinfandel
Crocker & Starr|Sauvignon Blanc||white|2009|Sauvignon Blanc
|Cabernet Franc||red|2007|Cabernet Franc
|Cabernet Sauvignon||red|2007|Cabernet Sauvignon
Culler Winery|Syrah|$25.00 |red|2008|Syrah
|Howell Mountain Cabernet|$65.00 |red|2007|Cabernet Sauvignon
